Thread ID: 70154612562920
Fiber ID: 70154645137400
Total: 92.534922
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.000     0.000     0.000     0.000       30   Regexp#initialize 
  0.00      0.001     0.000     0.000     0.001       48   Kernel#puts 
  0.00      9.487     0.000     0.000     9.487   107238  *Class#new 
  0.00      0.001     0.000     0.000     0.000       12   CSV#init_converters 
  0.00      0.000     0.000     0.000     0.000       22   Exception#initialize 
  0.00      0.186     0.000     0.000     0.186       36   SalesFinder#find_invoices_by_merch_id 
  0.00      0.186     0.000     0.000     0.186       36   InvoiceRepository#find_all_by_merchant_id 
  0.00      5.137     0.000     0.000     5.137       12   SalesIntelligence#add_revenue_of_successful_invoices 
  0.00      0.004     0.000     0.000     0.003       32   Enumerator#each_with_index 
  0.00      0.001     0.000     0.000     0.001        6   CSV#init_parsers 
  0.00      0.000     0.000     0.000     0.000       10   Thread#join 
  0.00      0.279     0.000     0.000     0.279       37   GenericRepo#find_by_id 
  0.00      0.001     0.000     0.000     0.001       48   CSV#encode_str 
  0.00      0.108     0.000     0.000     0.108       35   InvoiceItem#item 
  0.00      0.124     0.000     0.000     0.124        5   SalesEngineProfiler#transaction_methods 
  0.00      0.724     0.000     0.000     0.724        5   SalesEngineProfiler#item_methods 
  0.00      0.000     0.000     0.000     0.000       96   Hash#delete 
  0.00      0.004     0.000     0.000     0.004        6   <Class::CSV>#open 
  0.00      0.001     0.000     0.000     0.001        5   Timeout::ExitException#exception 
  0.00      0.000     0.000     0.000     0.000       66   Array#include? 
  0.00      0.000     0.000     0.000     0.000        7   BasicObject#method_missing 
  0.00      0.108     0.000     0.000     0.108       35   SalesFinder#find_item_by_item_id 
  0.00      0.043     0.000     0.000     0.043        5   SalesEngineProfiler#merchant_methods 
  0.00      0.108     0.000     0.000     0.108       35   InvoiceItemRepository#find_item 
  0.00      0.001     0.000     0.000     0.001        5   SalesEngineProfiler#creates_invoice 
  0.00      2.341     0.000     0.000     2.341        6   Integer#times 
  0.00      0.043     0.000     0.000     0.043        5   SalesEngineProfiler#customer_methods 
  0.00      0.846     0.000     0.000     0.845        5   SalesEngineProfiler#invoice_item_methods 
  0.00      0.005     0.000     0.000     0.005       20   GenericRepo#find_by_name 
  0.00      0.000     0.000     0.000     0.000       12   Hash#initialize_copy 
  0.00      0.001     0.000     0.000     0.001       30   CSV#encode_re 
  0.00      0.000     0.000     0.000     0.000      114   Encoding#name 
  0.00     21.079     0.000     0.000    21.079       28   Enumerable#flat_map 
  0.00      0.000     0.000     0.000     0.000       48   Array#join 
  0.00     21.073     0.000     0.000    21.072       27   SalesIntelligence#find_invoice_items_from_successful_invoices 
  0.00      0.000     0.000     0.000     0.000       10   Thread#kill 
  0.00      0.000     0.000     0.000     0.000        5   InvoiceRepository#create 
  0.00      0.000     0.000     0.000     0.000       72   String#to_sym 
  0.00     30.038     0.000     0.000    30.038       10   SalesIntelligence#find_successful_invoice_items_by_merch_id_per_item_id 
  0.00      0.000     0.000     0.000     0.000        9   BigDecimal#initialize 
  0.00      0.000     0.000     0.000     0.000       25   <Class::Thread>#current 
  0.00      0.000     0.000     0.000     0.000       53   Enumerable#inject 
  0.00      0.000     0.000     0.000     0.000        1   Hash#select 
  0.00      0.000     0.000     0.000     0.000       54   Fixnum#== 
  0.00      9.486     0.000     0.000     9.486        6   GenericRepo#create_items 
  0.00      0.166     0.000     0.000     0.166        5   SalesFinder#find_items_by_invoice_id 
  0.00     32.047     0.000     0.000    32.046       13  *Merchant#revenue 
  0.00      0.000     0.000     0.000     0.000       10   Kernel#proc 
  0.00     92.535     0.000     0.000    92.535        1   SalesEngineProfiler#profiled 
  0.00      0.000     0.000     0.000     0.000       72   String#downcase 
  0.00      5.137     0.000     0.000     5.137       12   SalesIntelligence#exception_to_handle_missing_invoices 
  0.00      0.000     0.000     0.000     0.000       22   Kernel#instance_variable_set 
  0.00      0.000     0.000     0.000     0.000       42   Module#=== 
  0.00     15.978     0.000     0.000    15.978        8   SalesIntelligence#find_revenue_by_date_per_merchant 
  0.00      0.000     0.000     0.000     0.000        4   Float#to_s 
  0.00      9.487     0.000     0.000     9.486        1   SalesEngine#startup 
  0.00      0.000     0.000     0.000     0.000       20   Entry#name 
  0.00      0.000     0.000     0.000     0.000       72   Proc#arity 
  0.00      0.000     0.000     0.000     0.000       12   String#sub 
  0.00      0.000     0.000     0.000     0.000        6   CSV#init_headers 
  0.00      0.000     0.000     0.000     0.000        5   Range#each 
  0.00      0.004     0.000     0.000     0.004       10   Invoice#customer 
  0.00      0.000     0.000     0.000     0.000       12   Hash#merge 
  0.00      0.000     0.000     0.000     0.000       15   BigDecimal#to_s 
  0.00      0.000     0.000     0.000     0.000        6   CSV#add_converter 
  0.00      4.813     0.000     0.000     4.813        5   SalesIntelligence#add_items_of_successful_invoices 
  0.00      0.250     0.000     0.000     0.250       10   Invoice#invoice_items 
  0.00      0.000     0.000     0.000     0.000       34   BasicObject#== 
